,season,rank_pub_date,team,rank,last_updated
223,2019,2018-11-26,LSU,19,2019-11-22 21:34:27.241391
224,2019,2018-12-03,LSU,19,2019-11-22 21:34:27.241391
225,2019,2018-12-10,LSU,19,2019-11-22 21:34:27.241391
226,2019,2018-12-17,LSU,19,2019-11-22 21:34:27.241391
227,2019,2018-12-24,LSU,19,2019-11-22 21:34:27.241391
228,2019,2018-12-31,LSU,19,2019-11-22 21:34:27.241391
229,2019,2019-01-07,LSU,19,2019-11-22 21:34:27.241391
230,2019,2019-01-14,LSU,19,2019-11-22 21:34:27.241391
231,2019,2019-01-21,LSU,25,2019-11-22 21:34:27.241391
232,2019,2019-01-28,LSU,19,2019-11-22 21:34:27.241391
233,2019,2019-02-04,LSU,21,2019-11-22 21:34:27.241391
234,2019,2019-02-11,LSU,19,2019-11-22 21:34:27.241391
235,2019,2019-02-18,LSU,13,2019-11-22 21:34:27.241391
236,2019,2019-02-25,LSU,13,2019-11-22 21:34:27.241391
237,2019,2019-03-04,LSU,10,2019-11-22 21:34:27.241391
238,2019,2019-03-11,LSU,9,2019-11-22 21:34:27.241391
239,2019,2019-05-01,LSU,12,2019-11-22 21:34:27.241391
240,2019,2018-11-01,Purdue,24,2019-11-22 21:34:27.241391
241,2019,2018-11-12,Purdue,23,2019-11-22 21:34:27.241391
242,2019,2018-11-19,Purdue,24,2019-11-22 21:34:27.241391
243,2019,2018-11-26,Purdue,19,2019-11-22 21:34:27.241391
244,2019,2018-12-03,Purdue,19,2019-11-22 21:34:27.241391
245,2019,2018-12-10,Purdue,19,2019-11-22 21:34:27.241391
246,2019,2018-12-17,Purdue,19,2019-11-22 21:34:27.241391
247,2019,2018-12-24,Purdue,19,2019-11-22 21:34:27.241391
248,2019,2018-12-31,Purdue,19,2019-11-22 21:34:27.241391
249,2019,2019-01-07,Purdue,19,2019-11-22 21:34:27.241391
250,2019,2019-01-14,Purdue,19,2019-11-22 21:34:27.241391
251,2019,2019-01-21,Purdue,19,2019-11-22 21:34:27.241391
252,2019,2019-01-28,Purdue,17,2019-11-22 21:34:27.241391
253,2019,2019-02-04,Purdue,15,2019-11-22 21:34:27.241391
254,2019,2019-02-11,Purdue,12,2019-11-22 21:34:27.241391
255,2019,2019-02-18,Purdue,15,2019-11-22 21:34:27.241391
256,2019,2019-02-25,Purdue,14,2019-11-22 21:34:27.241391
257,2019,2019-03-04,Purdue,11,2019-11-22 21:34:27.241391
258,2019,2019-03-11,Purdue,13,2019-11-22 21:34:27.241391
259,2019,2019-05-01,Purdue,13,2019-11-22 21:34:27.241391
260,2019,2018-11-01,Auburn,11,2019-11-22 21:34:27.241391
261,2019,2018-11-12,Auburn,9,2019-11-22 21:34:27.241391
262,2019,2018-11-19,Auburn,8,2019-11-22 21:34:27.241391
263,2019,2018-11-26,Auburn,8,2019-11-22 21:34:27.241391
264,2019,2018-12-03,Auburn,8,2019-11-22 21:34:27.241391
265,2019,2018-12-10,Auburn,8,2019-11-22 21:34:27.241391
266,2019,2018-12-17,Auburn,7,2019-11-22 21:34:27.241391
267,2019,2018-12-24,Auburn,12,2019-11-22 21:34:27.241391
268,2019,2018-12-31,Auburn,12,2019-11-22 21:34:27.241391
269,2019,2019-01-07,Auburn,11,2019-11-22 21:34:27.241391
270,2019,2019-01-14,Auburn,14,2019-11-22 21:34:27.241391
271,2019,2019-01-21,Auburn,16,2019-11-22 21:34:27.241391
